countryCode,productId,storeId
FRA,1234,1234
FRA,1234,1235
FRA,1234,1236
FRA,1234,1237
FRA,1234,1953
USA,1234,1234
USA,1234,1235
USA,1234,1236
USA,1234,1237
USA,1234,1953
GBR,1234,1234
GBR,1234,1235
GBR,1234,1236
GBR,1234,1237
GBR,1234,1953
FRA,1235,1234
FRA,1235,1235
FRA,1235,1236
FRA,1235,1237
FRA,1724,1234
FRA,1724,2011
FRA,1769,2127
USA,1235,1234
USA,1235,1235
USA,1235,1236
USA,1235,1237
USA,1724,1234
USA,1724,2011
USA,1769,2127
GBR,1235,1234
GBR,1235,1235
GBR,1235,1236
GBR,1235,1237
GBR,1724,1234
GBR,1724,2011
GBR,1769,2127
COG,1235,1234
COG,1235,1235
COG,1235,1236
COG,1235,1237
COG,1724,1234
COG,1724,2011
COG,1769,2127
FRA,1236,1234
FRA,1236,1235
FRA,1236,1236
FRA,1236,1237
USA,1236,1234
USA,1236,1235
USA,1236,1236
USA,1236,1237
GBR,1236,1234
GBR,1236,1235
GBR,1236,1236
GBR,1236,1237
FRA,1237,1234
FRA,1237,1235
FRA,1237,1236
FRA,1237,1237
FRA,1237,1817
FRA,2041,1702
USA,1237,1234
USA,1237,1235
USA,1237,1236
USA,1237,1237
USA,1237,1817
USA,2041,1702
GBR,1237,1234
GBR,1237,1235
GBR,1237,1236
GBR,1237,1237
GBR,1237,1817
GBR,2041,1702
NOR,2044,1541
SPM,2368,2185
MYS,2175,2209
MYS,2175,1870
BDI,1610,1950
SGS,1610,1950
KWT,1671,1967
YEM,2095,1580
TCA,2205,1659
CXR,1507,2166
GRD,2290,1561
SSD,1802,1612
SXM,1755,2170
NCL,1652,1860
NCL,1652,2375
IND,2233,2498
NRU,2233,2498
BIH,1930,2470
MCO,2055,1665
MMR,2239,2258
MMR,2239,1691
MMR,2268,2002
PER,2239,2258
PER,2239,1691
PER,2268,2002
CZE,1867,1777
FLK,2042,1789
GHA,1933,2304
VAT,2258,2408
DJI,2193,2495
BLR,2120,2134
TUN,1993,1529
TUN,1993,1810
MUS,1993,1529
MUS,1993,1810
MYT,1625,1505
MYT,1625,1852
MEX,1987,2375
MEX,1987,1646
COM,2346,2148
PCN,1756,1766
MYT,2162,2183
MYT,2162,1573
SGS,1733,1674
TJK,1621,2162
IND,1927,2305
IND,1927,1565
IND,1927,2385
TUR,1705,1711
TUR,1705,1782
CYM,1705,1711
CYM,1705,1782
BLM,1834,2102
LAO,1841,2412
GRC,2022,1524
KAZ,1570,1645
POL,1768,1969
PSE,2285,1604
PSE,2285,1816
LIE,1633,1918
REU,2356,1584
MMR,2377,2308
KGZ,2142,1745
SGS,1632,2028
BVT,1556,2237
BVT,2091,2242
BVT,2091,1516
BVT,2253,1855
KGZ,1795,1843
KGZ,1795,1692
ROU,1569,2236
SGP,1576,1952
SGP,1576,2413
ABW,2433,1518
MLI,2051,1974
PCN,2080,1725
VAT,2008,1808
JOR,1638,1675
JOR,1638,2417
ISR,2062,2108
VEN,2261,1641
ROU,2065,2107
MDA,1587,2335
GNB,2035,1574
SXM,1730,2059
BRN,1730,2059
VGB,1555,1834
BRN,2210,1687
BRN,2210,2417
NAM,1513,2240
ABW,1913,1688
TLS,2013,1997
SAU,1544,1571
SAU,1544,1628
COG,1544,1571
COG,1544,1628
SOM,1763,1582
SOM,2124,2181
SOM,2124,2360
SYC,2264,2070
MWI,1619,1894
GMB,2284,2389
GMB,2319,2123
PLW,2473,2385
MEX,1509,1944
PRK,1662,2484
PRK,1662,2212
PRK,1662,2281
GLP,1721,1896
SWZ,2374,1862
SWZ,2374,1620
BOL,2029,1952
CPV,2417,2233
BLR,1639,1907
GUF,1655,1729
GUF,1655,1845
GUF,1891,1656
GUF,1891,1705
CAN,1697,1919
